Centroid LON,Centroid LAT,Shelf,Sector,Fig2A,Fig2B,Fig2C,Fig3A,Fig3B,Fig3C,Fig4A,Fig4B,Fig4C,Fig5A
142.9353,-11.4349,1,1,0.022444081,0.183040776,0.346951599,6.428571429,0.61477019,0.870284477,0,0,0,0
142.8413,-11.4244,1,1,0.163159713,0.458177951,0.39951915,13.71428571,0.581376928,0.736286488,0,0,0,0
143.2418,-11.0226,2,1,0.048996514,0.837239722,0.498790915,25.85714286,0.860856692,0.615391175,0,0,0,0
143.3333,-11.0279,2,1,0.029796674,0.553359741,0.436160261,32,0.968917996,0.739270254,0,0,0,0
143.3563,-11.0322,2,1,0.010920033,0.532075701,0.395864702,25.42857143,1.13497978,0.692483559,0,0,0,0
143.4741,-11.0288,2,1,0.008762606,1.192296071,0.426999115,14.71428571,1.39539255,0.549404762,0,0,0,0
143.3795,-11.0388,2,1,0.007876132,0.544992735,0.360963541,20.28571429,1.093697719,0.696905942,0,0,0,0
143.3709,-11.0588,2,1,0.006788397,0.704015729,0.507380047,17,1.200730266,0.690607607,0,0,0,0
143.4644,-11.0445,2,1,0.075824764,0.445408752,0.510490705,43,0.963269925,0.593261519,0,0,0,0
143.4022,-11.0745,2,1,0.017864706,0.56574846,0.36571687,20.85714286,1.180084843,0.774559062,0,0,0,0
143.3194,-11.0788,2,1,0.053410741,0.354849069,0.505456345,34.71428571,1.067751231,0.643721979,0,0,0,0
143.0908,-11.0698,1,1,0.090252519,0.439178683,0.414691087,35,0.769132385,0.644282881,0,0,0,0
143.0281,-11.1164,1,1,0.059006285,0.903553217,0.469696243,25,0.74547524,0.687303576,0,0,0,0
143.0006,-11.1292,1,1,0.01348203,0.471209239,0.364588681,17.14285714,0.840235307,0.574768313,0,0,0,0
143.4958,-11.1075,2,1,0.021620383,0.795094407,0.443882861,11.14285714,0.834548752,0.617544945,0,0,0,0
143.2523,-11.1285,2,1,0.049055021,0.740711543,0.548852705,17.28571429,0.815212912,0.689392393,0,1,1,1
143.4378,-11.1439,2,1,0.164161667,0.354313542,0.489788566,40.57142857,0.962620933,0.675147392,0,0,0,0
143.2244,-11.1422,2,1,0.062361913,0.260742874,0.427936536,20.85714286,0.987030426,0.77189045,0,0,0,0
143.4213,-11.1598,2,1,0.012252594,0.914162936,0.530235351,15.28571429,1.394810892,0.636904762,0,0,0,0
143.3933,-11.184,2,1,0.035504122,0.483238736,0.431363349,20.85714286,1.07188316,0.793238072,0,0,0,0
143.3939,-11.2045,2,1,0.019033918,0.508135309,0.550402781,11.57142857,1.183726812,0.840873016,0,1,1,1
143.5452,-11.367,2,1,0.089347774,0.711945929,0.449551441,22.42857143,0.538031225,0.624599583,0,0,0,0
143.3356,-11.361,2,1,0.029717802,0.505256233,0.443579314,7.571428571,0.589955881,0.713945578,0,0,0,0
143.1606,-11.3772,1,1,0.060030873,0.385773937,0.388705692,11.14285714,0.461775817,0.705466755,0,0,0,0
143.0732,-11.3705,1,1,0.016807331,0.978283483,0.497551191,8,0.707106781,0.777777778,0,0,0,0
143.0696,-11.3895,1,1,0.077431473,0.522926626,0.529919236,14.71428571,0.744181777,0.720748299,0,0,0,0
143.035,-11.3848,1,1,0.02802355,0.527524004,0.563473919,10,0.723417814,0.722179089,0,0,0,0
143.1651,-11.4339,1,1,0.08262776,0.493410929,0.409928211,11.71428571,0.484695374,0.763130252,0,0,0,0
143.0418,-11.4538,1,1,0.036821774,0.310427434,0.303117915,10.57142857,0.389476871,0.773486747,0,0,0,0
143.03,-11.1816,1,1,0.054476775,0.600859982,0.49385228,21.57142857,0.867625496,0.675225859,0,0,0,0
143.1973,-11.1831,2,1,0.10676713,0.385525282,0.462921057,21.42857143,0.749508481,0.633486848,0,0,0,0
143.3156,-11.2141,2,1,0.129789052,0.412710622,0.487171401,27,0.751769746,0.686365264,0,0,0,0
143.0003,-11.2429,1,1,0.05061854,0.565476047,0.383717832,15.14285714,0.924865168,0.723742924,0,0,0,0
143.2571,-11.2415,2,1,0.029017014,0.744590069,0.378575072,10.71428571,0.979947089,0.682199546,0,0,0,0
143.1497,-11.2712,2,1,0.081732424,0.417850096,0.336644913,19.57142857,0.675829899,0.718946768,0,0,0,0
143.0342,-11.2886,1,1,0.015212018,0.577109632,0.380463634,10.57142857,0.732435757,0.710443723,0,0,0,0
143.0462,-11.2873,1,1,0.020107506,0.576486556,0.435769441,10.28571429,0.709376501,0.691187384,0,0,0,0
143.1961,-11.2948,2,1,0.075688422,0.562640425,0.472225541,15.71428571,0.584062905,0.756279052,0,0,0,0
143.2813,-11.2974,2,1,0.012198624,0.663016295,0.355057742,7.857142857,0.698759231,0.493417367,0,0,0,0
143.3642,-11.2735,2,1,0.158430377,0.522400778,0.430641948,27.28571429,0.590084332,0.713307063,0,0,0,0
143.4849,-11.2704,2,1,0.02755391,0.873485694,0.47734961,12.57142857,0.832833872,0.686555349,0,0,0,0
143.1263,-11.3192,1,1,0.028562813,0.688951326,0.379466685,10.28571429,0.856281258,0.57504682,0,0,0,0
143.1277,-11.3416,1,1,0.030408376,0.335159487,0.489648375,12.57142857,0.533324724,0.752252318,0,0,0,0
143.4023,-11.3273,2,1,0.096161234,0.37637737,0.454745952,24.14285714,0.648957152,0.675824176,0,0,0,0
143.5423,-11.2531,2,1,0.095828654,0.39117503,0.395893943,30.28571429,0.651990772,0.684311879,0,0,0,0
143.9955,-11.2826,3,1,0.003486814,2.645751311,0.057142857,1.714285714,2.645751311,0.142857143,6,6,0,0
144.0057,-11.2824,3,1,0.004793752,2.645751311,0.057142857,2,2.645751311,0.142857143,6,6,0,0
143.996,-11.2948,3,1,0.000987348,2.645747444,0.2,1.142857143,2.283318126,0.285714286,5,6,1,1
143.9794,-11.2954,3,1,0.000211912,2.645751311,0.057142857,0.714285714,2.645751311,0.142857143,6,6,0,0
143.9808,-11.3092,3,1,3.56E-06,2.645751311,0.057142857,0.428571429,2.645751311,0.142857143,6,6,0,0
143.4008,-11.5056,2,1,0.103124865,0.495634516,0.384648692,13.85714286,0.509310349,0.544594929,0,0,0,0
143.2747,-11.462,2,1,0.315475715,0.510023521,0.379596997,20,0.457347424,0.758167724,0,0,0,0
143.3112,-11.3965,2,1,0.189342015,0.152370676,0.370742078,18.28571429,0.52617057,0.646487441,0,0,0,0
143.3775,-11.4606,2,1,0.031347468,0.480919627,0.376252217,5.285714286,0.634223997,0.499773243,0,0,0,0
143.4381,-11.4305,2,1,0.069113273,1.039838707,0.354812485,8.714285714,0.658260176,0.664218135,0,1,1,1
143.1246,-11.4681,1,1,0.037768018,0.380095302,0.313895569,9.142857143,0.583658763,0.678444105,0,0,0,0
143.1566,-11.4718,1,1,0.059413073,0.404002031,0.336663929,11,0.560401273,0.689795918,0,0,0,0
143.0751,-11.482,1,1,0.027167743,0.46400212,0.32242779,6,0.333333333,0.64399093,0,0,0,0
143.0401,-11.4889,1,1,0.025341453,0.39048059,0.311830354,6.714285714,0.268006293,0.761394558,0,0,0,0
143.0284,-11.4973,1,1,0.039152554,0.431106003,0.337974857,7.857142857,0.297834239,0.74581371,0,0,0,0
143.4999,-10.9776,2,1,0.045784622,0.367582297,0.361582819,27.28571429,1.332492448,0.582539683,0,0,0,0
143.5945,-11.0194,2,1,0.027734449,0.438977285,0.528188865,25.14285714,1.40400705,0.654054279,0,1,1,1
143.6685,-11.0979,2,1,0.168303028,0.634129151,0.404075983,53.28571429,0.879419231,0.71028332,0,0,0,0
143.5851,-11.1511,2,1,0.028085746,1.551359523,0.478488882,13,0.955622828,0.839985994,0,2,2,1
143.6948,-11.1572,2,1,0.009070117,1.219993581,0.405353647,5.428571429,0.590788008,0.530102041,0,0,0,0
143.5343,-11.1481,2,1,0.00976512,0.931891312,0.236467963,10.71428571,1.062408166,0.551122449,1,1,0,0
143.5885,-11.2076,2,1,0.018307099,1.445457794,0.499014961,17.42857143,0.959448317,0.630521525,0,0,0,0
143.7173,-11.1948,2,1,0.081656324,0.374973593,0.475982451,24.42857143,0.489437934,0.801005886,0,0,0,0
143.7985,-11.3148,2,1,0.008702779,0.890584563,0.538701097,5,0.632455532,0.693877551,1,4,3,1
143.6555,-11.2438,2,1,0.084691971,0.785308432,0.38845142,36.57142857,0.593608639,0.688301221,0,0,0,0
143.8194,-11.2555,2,1,0.018039543,1.111958797,0.604339995,9,0.964386412,0.785714286,0,2,2,1
143.6352,-11.4735,2,1,0.016419916,0.694683193,0.584781206,14.57142857,1.071890443,0.699404762,0,0,0,0
143.7066,-11.466,2,1,0.029640163,0.766602947,0.324754815,13.42857143,0.798415891,0.649236537,0,0,0,0
143.9287,-11.476,2,1,0.004506425,2.074454164,0.582688653,1.285714286,0.587944736,0.642857143,1,3,2,1
144.0174,-11.4729,3,1,0.00218538,2.191328299,0.457836109,2.857142857,1.900219286,0.542857143,3,5,2,3
143.9009,-11.4778,2,1,0.004116224,1.318840452,0.548987505,1.285714286,0.739814235,0.714285714,1,4,3,1
